species,Taxon,logBRAIN,logMASS,BRAIN,MASS
Malurus_pulcherrimus,Other Passeriformes,-0.868,2.282,0.419790291,9.796253337
Malurus_splendens,Other Passeriformes,-0.799,2.222,0.449778518,9.225763955
Manacus_candei,Other Passeriformes,-0.57,2.864,0.565525439,17.53151292
Manacus_manacus,Other Passeriformes,-0.604,2.944,0.546620774,18.99166123
Manacus_vitellinus,Other Passeriformes,-0.472,2.904,0.623753513,18.24698754
Manorina_flavigula,Other Passeriformes,0.446,4.011,1.562051467,55.20204502
Manorina_melanocephala,Other Passeriformes,0.637,4.053,1.890799962,57.56990796
Manorina_melanophrys,Other Passeriformes,0.161,3.238,1.174684969,25.48270534
Margarops_fuscatus,Other Passeriformes,0.854,4.695,2.349024181,109.3988086
Margarops_fuscus,Other Passeriformes,0.437,4.26,1.548056077,70.80998345
Mecocerculus_leucophrys,Other Passeriformes,-0.916,2.23,0.40011631,9.299866079
Megalurus_gramineus,Other Passeriformes,-0.562,2.501,0.570067787,12.19468255
Megalurus_palustris,Other Passeriformes,0.133,3.644,1.142249998,38.24450921
Megarynchus_pitangua,Other Passeriformes,0.203,4.19,1.225072468,66.02279096
Melanocharis_nigra,Other Passeriformes,-0.616,2.442,0.540100525,11.49600979
Melanocharis_striativentris,Other Passeriformes,-0.386,2.907,0.679770526,18.30181069
Melanodryas_cucullata,Other Passeriformes,-0.281,3.189,0.755028335,24.26415116
Melanodryas_vittata,Other Passeriformes,-0.186,3.219,0.830273595,25.00310457
Melanoptila_glabrirostris,Other Passeriformes,0.182,3.555,1.199614194,34.98781997
Melilestes_megarhynchus,Other Passeriformes,0.3,3.855,1.349858808,47.22861694
Meliphaga_gracilis,Other Passeriformes,-0.426,2.708,0.653116342,14.999247
Meliphaga_lewinii,Other Passeriformes,0.157,3.553,1.169995614,34.91791426
Meliphaga_notata,Other Passeriformes,-0.145,3.263,0.865022293,26.12780309
Melithreptus_albogularis,Other Passeriformes,-0.478,2.565,0.620022197,13.00065837
Melithreptus_brevirostris,Other Passeriformes,-0.335,2.628,0.715338086,13.84605009
Melithreptus_lunatus,Other Passeriformes,-0.431,2.603,0.649858911,13.5041899
Melopyrrha_nigra,Other Passeriformes,-0.171,2.72,0.842821573,15.18032224
Menura_novaehollandiae,Other Passeriformes,2.27,6.468,9.679400814,644.1940496
Microeca_fascinans,Other Passeriformes,-0.602,2.43,0.54771511,11.35888208
Microeca_flavigaster,Other Passeriformes,-0.734,2.303,0.479985204,10.00414993
Microeca_papuana,Other Passeriformes,-0.549,2.506,0.577527049,12.25580865
Mimus_polyglottos,Other Passeriformes,0.336,3.811,1.399339025,45.19561189
Minla_ignotincta,Other Passeriformes,-0.382,2.773,0.682495053,16.0065818
Mionectes_oleagineus,Other Passeriformes,-0.771,2.581,0.462550287,13.2103419
Mitrephanes_phaeocercus,Other Passeriformes,-1.109,2.175,0.329888685,8.802185122
Mniotilta_varia,Other Passeriformes,-0.85,2.015,0.427414932,7.500727381
Molothrus_ater,Other Passeriformes,0.135,3.73,1.144536784,41.67910816
Molothrus_oryzivorus,Other Passeriformes,1.131,5.25,3.098753705,190.5662685
Monachella_muelleriana,Other Passeriformes,-0.288,3.091,0.749761592,21.99906605
Monarcha_guttula,Other Passeriformes,-0.382,2.742,0.682495053,15.51799006
Monarcha_melanopsis,Other Passeriformes,-0.085,3.003,0.918512284,20.14588401
Monarcha_trivirgatus,Other Passeriformes,-0.397,2.536,0.672334026,12.62905359
Muscicapa_striata,Other Passeriformes,-0.713,2.736,0.490171475,15.42516089
Muscisaxicola_alpinus,Other Passeriformes,-0.248,3.125,0.780359943,22.75989509
Myadestes_genibarbis,Other Passeriformes,-0.068,3.346,0.934260474,28.38895043
Myadestes_townsendi,Other Passeriformes,0.005,3.529,1.005012521,34.0898607
Myiagra_alecto,Other Passeriformes,-0.303,3.045,0.738599096,21.0100312
Myiagra_caledonica,Other Passeriformes,-0.523,2.393,0.592739659,10.94628358
Myiagra_cyanoleuca,Other Passeriformes,-0.462,2.695,0.63002234,14.80551875
Myiagra_inquieta,Other Passeriformes,-0.252,2.657,0.777244738,14.2534645
Myiagra_rubecula,Other Passeriformes,-0.616,2.708,0.540100525,14.999247
Myiarchus_cinerascens,Other Passeriformes,-0.266,3.36,0.766439128,28.78919088
Myiarchus_stolidus,Other Passeriformes,-0.392,2.96,0.675704114,19.29797176
Myiarchus_tuberculifer,Other Passeriformes,-0.412,2.931,0.662324276,18.74636749
Myiarchus_tyrannulus,Other Passeriformes,0.065,3.549,1.067159024,34.77852157
Myiarchus_validus,Other Passeriformes,0.179,3.713,1.196020744,40.97655197
Myiobius_barbatus,Other Passeriformes,-0.994,2.438,0.370093353,11.45011759
Myioborus_pictus,Other Passeriformes,-0.929,2.303,0.394948461,10.00414993
Myiodynastes_maculatus,Other Passeriformes,0.182,3.951,1.199614194,51.98732818
Myiopagis_cotta,Other Passeriformes,-0.862,2.438,0.422316604,11.45011759
Myiophobus_fasciatus,Other Passeriformes,-1.05,2.708,0.349937749,14.999247
Myiozetetes_similis,Other Passeriformes,-0.21,3.323,0.810584246,27.74345621
Myrmeciza_exsul,Other Passeriformes,0.024,3.261,1.024290318,26.07559971
Myrmeciza_ferruginea,Other Passeriformes,-0.163,3.258,0.849591188,25.99749013
Myrmotherula_axillaris,Other Passeriformes,-0.912,2.007,0.40171998,7.440960947
